GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-course,com.example.demo.controllers,OrderController,6,35,2,2,2,9,2,3,0,3
auth-course,com.example.demo.controllers,UserController,3,47,1,1,0,11,1,4,0,4
auth-course,com.example.demo.controllers,ItemController,3,27,2,2,0,6,2,4,0,4
auth-course,com.example.demo.controllers,CartController,12,93,0,8,0,23,2,7,2,3
auth-course,com.example.demo.controllers,AuthenticationController,0,49,2,2,0,9,2,3,0,3
auth-course,com.example.demo.service,JwtUserDetailsService,0,62,1,3,0,10,1,5,0,4
auth-course,com.example.demo.model.requests,CreateUserRequest,0,10,0,0,0,4,0,3,0,3
auth-course,com.example.demo.model.requests,LoginRequest,0,17,0,0,0,7,0,5,0,5
auth-course,com.example.demo.model.requests,ModifyCartRequest,4,20,0,0,2,8,1,6,1,6
auth-course,com.example.demo.config,JwtRequestFilter,77,0,10,0,23,0,7,0,2,0
auth-course,com.example.demo.config,JwtAuthenticationEntryPoint,8,0,0,0,3,0,2,0,2,0
auth-course,com.example.demo.config,SecurityConfig,64,0,0,0,13,0,5,0,5,0
auth-course,com.example.demo,SareetaApplication,8,0,0,0,3,0,2,0,2,0
auth-course,com.example.demo.model.persistence,User,6,18,0,0,2,8,2,5,2,5
auth-course,com.example.demo.model.persistence,JwtResponse,3,6,0,0,1,3,1,1,1,1
auth-course,com.example.demo.model.persistence,UserProfile,7,17,0,0,3,7,2,5,2,5
auth-course,com.example.demo.model.persistence,Item,76,11,14,0,25,5,15,3,8,3
auth-course,com.example.demo.model.persistence,UserOrder,12,41,0,0,4,14,4,6,4,6
auth-course,com.example.demo.model.persistence,JwtRequest,12,14,0,0,5,7,2,4,2,4
auth-course,com.example.demo.model.persistence,Cart,71,20,8,0,19,8,9,6,5,6
auth-course,com.example.demo.Utils,JwtTokenUtil,55,26,4,0,10,4,9,2,7,2
